Round,Client0_loss,Client1_loss,Client2_loss
0,2.3011046138763427,2.302372915649414,2.305347529602051
1,1.0307103464126588,0.6829771574497223,1.235879675579071
2,0.36358621504306793,0.3622828665018082,0.3605522092938423
3,0.28262188022136686,0.3232493618369102,0.2719149435997009
4,0.2628982204973698,0.25982861703634264,0.2546685792982578
5,0.24577786540985108,0.22364181773066522,0.19883846310675143
6,0.1826269739612937,0.1932496776729822,0.1706453043371439
7,0.15672143983393907,0.17926330390274525,0.16710259120464324
8,0.1424239271491766,0.16612602871358395,0.13089156233370305
9,0.1376682830452919,0.14622127808630467,0.12567976512908935
