epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,avg_accuracy,avg_loss
1,0.2617,1.9247373052597045,0.2993,1.913972074317932,0.284,1.9526008247375488,0.2759,2.00156381816864,0.2488,1.993030112838745,0.2711,1.895554903793335,0.2891,1.9239286411285401,0.2321,1.9859195650100707,0.27025,1.9489134056568145
2,0.365,1.6262888187408446,0.3615,1.6629306392669678,0.2838,1.973746646118164,0.2895,2.020690669631958,0.3568,1.60406598072052,0.319,1.8063240364074706,0.34,1.7145978687286376,0.3196,1.9265787927627565,0.32939999999999997,1.7919029315471648
3,0.3278,1.7648316864013671,0.3812,1.5583773836135864,0.3813,1.5339572998046875,0.3642,1.6704450881958008,0.3726,1.769242103767395,0.4169,1.6022992107391358,0.392,1.5339808139801026,0.4287,1.5285108392715454,0.38308749999999997,1.6202055532217026
4,0.4263,1.5161901542663574,0.4606,1.4336463537216186,0.4427,1.5140833013534545,0.401,1.733630379486084,0.4284,1.654482050895691,0.4515,1.4560615957260132,0.4491,1.509852459335327,0.4654,1.4650986209869385,0.440625,1.5353806144714357
5,0.4711,1.4359480129241944,0.4069,1.773570362472534,0.4685,1.533166674041748,0.5001,1.3199962490081787,0.4168,1.818525230026245,0.4689,1.5158154687881469,0.435,1.6559500089645385,0.3342,2.253211483001709,0.4376875,1.6632729361534118
6,0.5486,1.2459763565063477,0.5103,1.3585538610458374,0.4814,1.4190357669830322,0.4866,1.426947640800476,0.5015,1.4155211820602418,0.445,1.5542840518951415,0.524,1.3468090553283691,0.3981,2.0942701648712156,0.48693749999999997,1.4826747599363328
7,0.4377,1.8460051778793336,0.5007,1.4779777057647705,0.5457,1.311198847579956,0.4727,1.4894839049339295,0.5465,1.3818859142303468,0.5575,1.2379856063842773,0.5395,1.3135206133842467,0.5557,1.266403109550476,0.5195000000000001,1.415557609963417
8,0.4639,1.8529544761657715,0.5103,1.6223913078308105,0.5514,1.2437244171142579,0.4492,1.7553672443389892,0.5712,1.301522894668579,0.5466,1.357280139541626,0.5673,1.2878172231674194,0.5744,1.216547483730316,0.5292875,1.4547006483197213
9,0.6006,1.1404240827560426,0.5797,1.2170415391921998,0.5031,1.6159098293304444,0.5249,1.4227262088775634,0.595,1.172607003879547,0.4755,1.7364640611648559,0.5982,1.1593941444396973,0.5182,1.5643814025878906,0.5494,1.3786185340285302
10,0.5828,1.2520489515304565,0.5346,1.4221443675994874,0.5579,1.2713700895309448,0.6276,1.0615220361709594,0.6175,1.1373323535919189,0.6373,1.0294073672294617,0.5656,1.3653803457260132,0.6135,1.2331302095413208,0.5921000000000001,1.2215419651150703
11,0.5607,1.4481943927764893,0.4932,1.7922429765701293,0.5639,1.3281729167938232,0.6111,1.2082927930831908,0.5438,1.471182783317566,0.5344,1.6379279724121094,0.6043,1.1849135515213012,0.6096,1.175049602985382,0.5651249999999999,1.405747123682499
12,0.6046,1.2355614976882934,0.5962,1.2035870069503785,0.592,1.2738270755767822,0.5573,1.4721968250274657,0.5927,1.2526917987823487,0.6429,1.0216919374465943,0.5988,1.2374280492782592,0.55,1.4221787008285522,0.5918125000000001,1.2648953614473344
13,0.6451,1.0325822907447815,0.6274,1.1223790603637696,0.5779,1.3734527255058289,0.5874,1.377268431663513,0.6064,1.166789483833313,0.6569,0.9901232376098633,0.5631,1.4108062383651734,0.6011,1.2579263594627381,0.6081625,1.2164159784436226
14,0.6198,1.1970160097122193,0.6054,1.1950748023986817,0.5371,1.558971704673767,0.6558,1.0809014538764954,0.562,1.577420795059204,0.5606,1.3959551836013795,0.6293,1.1578674754142761,0.6125,1.2360201080322266,0.5978125,1.2999034415960313
15,0.489,1.904272254562378,0.5846,1.2521910108566283,0.619,1.2023054487228393,0.6354,1.2390569350242615,0.6648,1.0451662685394287,0.6361,1.159396232032776,0.6519,1.1115070722579956,0.6158,1.3171503354072571,0.6120749999999999,1.2788806946754456
16,0.538,1.7334128215789795,0.6298,1.1529477499008178,0.542,1.5745607669830322,0.5958,1.3708785345077514,0.6157,1.2836105791091919,0.653,1.0301308696746827,0.6629,1.009853060722351,0.6022,1.3380469869613647,0.6049249999999999,1.3116801711797714
17,0.6237,1.31118895778656,0.6266,1.1689373816490174,0.572,1.5456859390258788,0.5891,1.4362706357955932,0.6578,1.1150526821136475,0.5505,1.7360938997268678,0.6394,1.143392234802246,0.637,1.2079966821670531,0.6120125000000001,1.333077301633358
18,0.5902,1.3965910432815551,0.5554,1.7122617834091187,0.6473,1.081563850593567,0.6395,1.2086363924980164,0.6597,1.0383269580841064,0.6594,1.0726016464233399,0.6244,1.2820161142349242,0.6428,1.1270136081695556,0.6273374999999999,1.2398764245867728
19,0.6172,1.3192810331344604,0.6303,1.1241167148590088,0.6257,1.2772797255516053,0.5951,1.4724891372680664,0.6522,1.1491238107681274,0.6349,1.2309363825798034,0.6793,1.0374642184257508,0.674,1.0524929755210877,0.6385875000000001,1.2078979997634887
20,0.66,1.1432498517990113,0.6579,1.0694002961158753,0.6396,1.251848360824585,0.6325,1.2733014959335327,0.6496,1.1081157167434692,0.653,1.1736228713035584,0.6354,1.2644569847106935,0.6344,1.3257877429962157,0.6453,1.2012229150533678
21,0.7036,0.915052188873291,0.6654,1.0633100214004516,0.6643,1.0518672088623047,0.628,1.2408446177482606,0.6298,1.2970673192977906,0.6521,1.1971915384292602,0.6167,1.2610444129943847,0.7074,0.9669298934936523,0.6584125,1.1241634001374243
22,0.6889,0.9890829683303833,0.6582,1.1696595238685608,0.5784,1.6760060031890869,0.6378,1.3038361963272094,0.5879,1.6864198165893554,0.677,1.0417722055435181,0.665,1.1223744762420653,0.6875,1.0414818000793458,0.6475875,1.2538291237711907
23,0.6579,1.2650909527778627,0.6188,1.408895848083496,0.6951,0.9845856510162353,0.6181,1.5129086406707764,0.6681,1.1253301210403441,0.7213,0.8705693742752075,0.6284,1.4593634397506714,0.7016,0.979439163684845,0.6636625,1.20077289891243
24,0.6176,1.4148302927017211,0.6784,1.0929663563728333,0.678,1.0560618231773375,0.6585,1.201394471359253,0.66,1.2737896865844727,0.701,0.9899147799491882,0.6704,1.0927762046813965,0.7011,1.0470231924057007,0.670625,1.1460946009039878
25,0.6782,1.0568566351890565,0.6719,1.182452440071106,0.6627,1.1552290483474732,0.6591,1.2743340717315674,0.6723,1.1546456300735473,0.6917,1.0565075801849366,0.6269,1.3656882919311524,0.6782,1.1193410641670227,0.6676249999999999,1.1706318452119828
26,0.693,1.0543376203536987,0.7098,0.9141072894096375,0.6893,1.0466450443267823,0.6835,1.080725341796875,0.6266,1.5563788297653198,0.6564,1.196087901687622,0.6759,1.1331814222335816,0.6657,1.1504214570999145,0.675025,1.1414856133341789
27,0.5992,1.6735732421875,0.6315,1.3777283273696899,0.6812,1.1665552751541137,0.6596,1.2301681476593018,0.6771,1.166180299949646,0.7294,0.8811739447593689,0.6871,1.0679718591690064,0.6859,1.1309233841896058,0.668875,1.2117843100547792
