epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,avg_accuracy,avg_loss
25,0.6786,1.0868394927978515,0.6586,1.2199046838760377,0.6773,1.0677000263214111,0.6775,1.1450317028045653,0.6648,1.131615763092041,0.6496,1.262312764263153,0.6817,1.1476857900619506,0.7086,0.9634052222251892,0.6745875,1.1280619306802748
26,0.6938,1.0752173704147339,0.7087,0.9177909548759461,0.6887,1.0716298044204713,0.6855,1.0941091243743897,0.6729,1.2931796020507813,0.7094,0.9424991725921631,0.6925,1.054616440963745,0.7135,0.9237933934211731,0.695625,1.0466044828891754
27,0.678,1.1821083885192871,0.6076,1.5105970169067382,0.6477,1.3208321510314942,0.6477,1.307392171573639,0.6893,1.084614581489563,0.7238,0.9253335046768189,0.6923,1.043104322052002,0.6719,1.173532027244568,0.6697875000000001,1.1934392704367638
28,0.69,1.0756680715560913,0.6187,1.5259941221237183,0.624,1.3596689086914062,0.6493,1.3753062177658082,0.7059,1.0586184743881226,0.6427,1.36526735496521,0.6325,1.533040212249756,0.6838,1.2078463596343993,0.6558625,1.3126762151718139
29,0.7097,1.0634836378097534,0.6091,1.8079176162719726,0.6953,1.061773730278015,0.6954,1.0707229953765869,0.6615,1.2981082614898682,0.6979,1.0632776371002197,0.6831,1.1917887693405151,0.7118,0.992385031414032,0.682975,1.1936822098851203
30,0.7138,1.0085120361328126,0.7271,0.9756523450851441,0.6668,1.31174788646698,0.7169,1.0304291446685792,0.6451,1.4952357345581055,0.7086,1.0667259473800659,0.6191,1.5747811275482178,0.7088,1.0757406312465667,0.688275,1.192353106635809
31,0.635,1.6260901714324951,0.7115,1.0933949089050292,0.6804,1.1574268420219422,0.7133,1.0994734283447265,0.676,1.326900581741333,0.6783,1.3606996307373047,0.6862,1.2358187604904174,0.6403,1.6839247859954833,0.6776249999999999,1.3229661387085914
32,0.6944,1.1691813484191895,0.718,1.0808879574775696,0.6862,1.1098649757385255,0.6269,1.6149188349723815,0.6972,1.2572426329612731,0.6469,1.4301024475097657,0.6808,1.2357624794006348,0.6863,1.177235445022583,0.6795875,1.2593995151877402
33,0.7126,1.0810499335289,0.7063,1.119559573173523,0.6766,1.2621906770706177,0.6581,1.5158226755142212,0.6868,1.3456608737945557,0.7068,1.119828118133545,0.7363,0.9643962438583374,0.7076,1.1173150917053223,0.6988875,1.1907278983473777
34,0.6772,1.3059749978065491,0.7244,1.1075796463012695,0.6798,1.3290496494293214,0.7171,1.052074901008606,0.7001,1.2146951316833496,0.7126,1.0646507467269897,0.6147,1.8489908740997314,0.6695,1.3577773557662964,0.686925,1.285099162852764
35,0.7242,1.0541440185546875,0.7058,1.145134516620636,0.6851,1.2333329984664918,0.6934,1.2198215465545654,0.7198,1.217448600578308,0.5071,2.886808048248291,0.6986,1.2299903665542602,0.7074,1.148414092540741,0.680175,1.3918867735147475
36,0.6197,1.9364462982177735,0.7284,1.058152374267578,0.6667,1.425815008544922,0.6641,1.4803021881103515,0.7357,0.9872112941741943,0.6661,1.4733287178039551,0.6947,1.2459785919189452,0.6811,1.3195848400115966,0.6820625,1.3658524141311648
37,0.7323,1.040094998550415,0.6929,1.2802777534484864,0.7179,1.085055089187622,0.7322,1.0127177133560181,0.6597,1.5830609926223755,0.6797,1.3698093517303467,0.6793,1.3683718770980835,0.6732,1.4376139077186585,0.6959,1.2721252104640008
38,0.7138,1.2576388944625854,0.7191,1.166087801170349,0.7049,1.1838984029769897,0.6726,1.5497677526473999,0.738,1.0767535930633545,0.676,1.426307377243042,0.6661,1.4824702167510986,0.6903,1.3343864294052123,0.6976,1.3096638084650039
39,0.7324,1.0897450607299806,0.6811,1.3368029903411864,0.7147,1.2018430294036866,0.6827,1.4003872893333436,0.7413,1.1034387454986572,0.7155,1.2076791593551637,0.703,1.3347944110870362,0.7208,1.1557174097061158,0.7114375,1.2288010119318962
