epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
1,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.3029036430358887,0.1135,2.302903643035889
2,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.1259,2.3025198371887208,0.12590000000000004,2.302519837188721
3,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406,0.141,2.3022299377441406
4,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686,0.1675,2.30160620765686
5,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.1782,2.3029629386901855,0.17819999999999997,2.3029629386901855
6,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.1827,2.3275397953033448,0.18270000000000003,2.3275397953033448
7,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582,0.1472,2.4714033649444582
8,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104,0.1028,2.5374920475006104
9,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.392196014022827,0.1028,2.3921960140228267
10,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.3033603523254396,0.1028,2.30336035232544
