epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
11,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088,0.1028,2.2671512851715088
12,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249,0.1028,2.310012780380249
13,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145,0.1028,2.24765052986145
14,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.1902,2.152012596511841,0.19019999999999998,2.152012596511841
15,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.1416706481933594,0.2527,2.141670648193359
16,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993,0.2611,2.224854013442993
17,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3082,2.189659080505371,0.3081999999999999,2.189659080505371
18,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.2802,2.2018959533691405,0.28019999999999995,2.20189595336914
19,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.3101,2.2715861335754393,0.31009999999999993,2.2715861335754393
20,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415,0.3398,2.333446170425415
