epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
1,0.2552,2.140266819381714,0.3834,1.889603844833374,0.4049,1.8822369022369385,0.3518,1.9048304609298705,0.3534,1.8941379417419433,0.3667,1.9230180349349975,0.2765,2.0681170959472657,0.673,1.3896961959838867,0.3002,2.0095406297683716,0.4285,1.791895171737671,0.37936000000000003,1.8893343097496031
2,0.4364,1.7198861141204833,0.6146,1.330104598236084,0.5758,1.4385703407287598,0.5285,1.456171339416504,0.6168,1.3108614093780517,0.58,1.389539910888672,0.5017,1.6064851791381836,0.8283,0.7930682350158691,0.4692,1.615607308959961,0.7033,1.161110891532898,0.58546,1.3821405327415466
3,0.5996,1.235345062637329,0.7548,0.8371806670188904,0.6763,1.0728451679229736,0.6878,1.0155976652145386,0.7735,0.8104843786239624,0.7099,0.9500959959030152,0.662,1.093055327320099,0.8556,0.5273199146270752,0.628,1.1878029518127442,0.8335,0.6721343454360962,0.7181,0.9401861476516723
4,0.7,0.9017127379417419,0.8356,0.5423147790908813,0.7278,0.8406419345855712,0.7699,0.7503737884521484,0.8445,0.5280563132286071,0.776,0.7018721358299256,0.7417,0.7988724405288696,0.8551,0.4499893042087555,0.7137,0.9020652925491333,0.8792,0.4327358148574829,0.7843500000000001,0.6848634541273116
5,0.7575,0.7169641477584839,0.882,0.3924160866260529,0.7715,0.6913327289581299,0.8101,0.6140875813484192,0.8795,0.3951344132900238,0.8321,0.5409711501121521,0.7926,0.6303350138664245,0.859,0.4263745492696762,0.756,0.7544950329303741,0.9,0.34105503072738647,0.8240299999999999,0.5503165734887123
6,0.7975,0.6056232053756714,0.9014,0.3195307743549347,0.8002,0.5962072563171387,0.8264,0.5582252377510071,0.8982,0.33216518201828005,0.8633,0.4397334385871887,0.8176,0.5464600219726562,0.8806,0.374458637547493,0.7873,0.6636380745410919,0.9156,0.28348069803714754,0.84881,0.4719522526502609
7,0.8158,0.5645480087280274,0.9097,0.28712300469875335,0.8186,0.565290062713623,0.8354,0.5512148203849793,0.9097,0.2958884882807732,0.8821,0.38477728366851804,0.8395,0.48418334789276124,0.8975,0.33388644235134124,0.7987,0.6467803284645081,0.9238,0.2564402629375458,0.8630800000000001,0.437013205012083
8,0.8352,0.5138141072273255,0.9213,0.2508640019059181,0.8416,0.4992767889022827,0.8389,0.5642605972290039,0.9154,0.27431664249897003,0.8845,0.37573229887485504,0.8529,0.4606432027339935,0.9035,0.3170274063944817,0.8043,0.6383052264690399,0.9287,0.23881840623021125,0.8726299999999998,0.41330586784660817
9,0.8488,0.4839541712760925,0.924,0.24570796278715135,0.8588,0.46281835227012635,0.8421,0.5726391563415527,0.925,0.2481625836133957,0.8903,0.36480838222503664,0.8629,0.43444854884147643,0.9121,0.2976682136654854,0.8082,0.6359069576263428,0.9322,0.22992391569018364,0.8804400000000001,0.3976038244336843
10,0.856,0.4695647552490234,0.93,0.23218900862932204,0.8711,0.4463041021823883,0.8415,0.5843438513755799,0.9276,0.2398197675228119,0.8944,0.3581088395595551,0.8716,0.41755677814483644,0.9118,0.30727532459497453,0.8092,0.6554971796035767,0.9341,0.22828590463995935,0.88473,0.39389455115020283
11,0.8595,0.46913760747909544,0.9297,0.23807575907707215,0.8826,0.4113261526584625,0.8443,0.608908309173584,0.9329,0.22801318572461604,0.8966,0.35717875723838804,0.8783,0.40788262701034544,0.9141,0.2936612949550152,0.813,0.6439543271064758,0.936,0.22091969545781612,0.8887,0.38790577158808703
12,0.8645,0.46436931200027465,0.9337,0.23247074724137784,0.8829,0.42192620167732237,0.8442,0.6300905959129334,0.9357,0.21911907365322114,0.901,0.35814126932621004,0.8832,0.3995445881843567,0.9143,0.3098967499911785,0.8161,0.657577833557129,0.9359,0.22456741008609532,0.89115,0.39177037816300986
13,0.8693,0.464335560798645,0.9366,0.22376801929473877,0.8834,0.4231451966047287,0.8439,0.6526081197738648,0.9355,0.22081408739537,0.903,0.3482558844566345,0.8871,0.3997139874458313,0.9135,0.31947324179410935,0.8175,0.6630961187362671,0.9371,0.22470466618686916,0.89269,0.39399148824870583
14,0.8726,0.4593044103622437,0.9347,0.23712124868035317,0.8887,0.4131379107475281,0.8417,0.6869184223175049,0.938,0.21930367536991835,0.9052,0.3529133460521698,0.8872,0.4128355323314667,0.9148,0.3251743586361408,0.8284,0.6209773166656494,0.939,0.23335890838503837,0.89503,0.39610451295480126
15,0.871,0.47657707080841066,0.9381,0.23009993576109408,0.89,0.41014425349235534,0.8421,0.6834371936798096,0.9425,0.20427008434087038,0.9032,0.36575108811855317,0.8884,0.4131661646842957,0.9118,0.33523114310503005,0.8256,0.6521649263858795,0.9392,0.23772820704728365,0.89519,0.4008570067423582
16,0.8702,0.4897377369880676,0.9373,0.23560513547062875,0.8866,0.44065330305099487,0.8393,0.7160103551864624,0.9415,0.20654608682692052,0.9014,0.386625096321106,0.8826,0.45490203914642335,0.9164,0.32507725776433943,0.8322,0.6250212304115296,0.9402,0.23681077010817825,0.8947700000000001,0.4116989011274651
17,0.8705,0.48468389825820923,0.9396,0.22590311356782913,0.8898,0.43442076237201693,0.8414,0.7280275764465332,0.9429,0.20558915277272463,0.902,0.3838752226829529,0.886,0.4436080192565918,0.9165,0.33840443418025973,0.8312,0.6628787280082703,0.9387,0.24470988712534308,0.8958600000000002,0.4152100794670731
18,0.8723,0.4828752973556519,0.9409,0.22803287839889527,0.8953,0.4261281130552292,0.8416,0.7208807100296021,0.9428,0.20630499175190925,0.9037,0.38819524507522585,0.889,0.4438234278678894,0.9143,0.3453920139849186,0.8229,0.7003253860473633,0.9406,0.24106786670163274,0.89634,0.4183025930268317
19,0.8745,0.49711264724731447,0.9402,0.23613800247311592,0.8858,0.46792651257514956,0.8406,0.7707130752563477,0.9435,0.21004756228104235,0.9009,0.40292237596511843,0.8947,0.42278145503997805,0.9216,0.32865046131014825,0.8197,0.743627946138382,0.9388,0.25425865791738034,0.89603,0.4334178696203977
20,0.876,0.5009842741012573,0.9418,0.2364399129986763,0.8927,0.4606602548122406,0.8432,0.7881530225753784,0.945,0.2104363121919334,0.9065,0.3877676315307617,0.894,0.4422281179904938,0.9142,0.35934393082261085,0.8195,0.7677050034046173,0.9395,0.24788408119026573,0.89724,0.4401602541618236
21,0.8773,0.49321636753082276,0.9404,0.24512714273929595,0.8915,0.4658677109241486,0.8387,0.8280022945404053,0.945,0.21426722994223238,0.9027,0.40599818153381345,0.8912,0.45230834617614746,0.9221,0.33342735117524863,0.8223,0.7732819113254548,0.9395,0.25936715346435085,0.89707,0.447086368935192
22,0.8717,0.5247642853736877,0.9428,0.23780001578330995,0.8938,0.46172006483078004,0.8405,0.8236617280960083,0.9435,0.2238493875682354,0.9028,0.4197953695774078,0.8902,0.46754299325942994,0.9154,0.36864681899547574,0.8175,0.8068836757659912,0.9399,0.26318087717331945,0.89581,0.4597845216423645
