epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
1,0.2103,2.2452717079162596,0.4924,1.7365359239578246,0.2286,2.151840197753906,0.3405,1.9588585817337036,0.2537,2.0979184631347656,0.3998,1.8577673175811769,0.3924,1.847380905532837,0.3572,1.9551834342956542,0.2308,2.1719750595092773,0.3126,2.033444179725647,0.32183,2.005617577114105
2,0.3388,1.9930787601470947,0.6671,1.2104411460876465,0.3023,1.9234022861480713,0.4941,1.5788129512786866,0.3537,1.8730523841857911,0.6296,1.3203628929138183,0.5816,1.4238272205352782,0.5414,1.5068536447525025,0.3003,1.945281335067749,0.5313,1.5730766408920287,0.47402,1.6348189262008668
3,0.4547,1.6780683792114257,0.7624,0.8360310810089111,0.3799,1.714805062866211,0.6042,1.2299936977386474,0.418,1.706974313545227,0.7791,0.8276857523918152,0.6931,1.0446299114227295,0.6131,1.2121341537475585,0.3868,1.7126862504959106,0.7011,1.0672128478050231,0.5792400000000001,1.303022145023346
4,0.5151,1.4363989658355714,0.8052,0.6463755874633789,0.4748,1.4919699935913087,0.6808,1.0065714046478271,0.4689,1.5872118400573731,0.837,0.5628897374153137,0.734,0.8505305208206176,0.6685,1.0477922378540039,0.4746,1.5237438316345215,0.7702,0.7675816883087159,0.64291,1.0921065807628632
5,0.574,1.260856341934204,0.8245,0.5545441532135009,0.5651,1.2758903732299804,0.7217,0.8913279488563538,0.5045,1.5092079204559326,0.869,0.42940554447174073,0.7707,0.7199836919784546,0.7015,0.9542371419906617,0.5542,1.3374942045211793,0.7965,0.6282655142307282,0.68817,0.9561212834882736
6,0.6102,1.1808698987960815,0.8395,0.5078556009292603,0.638,1.107225553894043,0.7536,0.8060036563873291,0.537,1.46308586769104,0.8902,0.3575717439651489,0.7924,0.6476904533386231,0.7181,0.9563010444641113,0.6184,1.1805505332946777,0.8256,0.5396339978694916,0.7222999999999999,0.8746788350629806
7,0.6372,1.145331405067444,0.8487,0.4785900104522705,0.675,1.0006850187301635,0.777,0.7526813474655152,0.5689,1.3982695995330812,0.9022,0.3155926238298416,0.822,0.5497889497756958,0.7296,0.9628683975219726,0.6717,1.06985009765625,0.8408,0.48733312797546385,0.7473099999999999,0.8160990578007699
8,0.6562,1.1339295753479004,0.8595,0.4397776743412018,0.6905,0.9686283147811889,0.7883,0.7331099248886108,0.5881,1.3845562572479249,0.9113,0.2832590977311134,0.8375,0.5127300697565079,0.744,0.9481693782806396,0.7073,0.9747391433715821,0.8537,0.4518929214000702,0.76364,0.783079235714674
9,0.6781,1.1163063549041747,0.8675,0.4225320092201233,0.7014,0.9576835573196412,0.7985,0.7096569931983948,0.6046,1.3833317316055298,0.9146,0.27364092400670054,0.8472,0.48620705013275145,0.7453,0.9248447967529296,0.7271,0.9263311614990234,0.8602,0.44705661311149597,0.77445,0.7647591191750764
10,0.68,1.1477049381256104,0.8831,0.37566547222137453,0.7042,0.9712441842079163,0.8044,0.7175700621604919,0.6132,1.3979865287780762,0.9183,0.2681200798779726,0.8554,0.46827780776023864,0.7582,0.9095291712760926,0.7462,0.8816262384414673,0.8682,0.4216476293087006,0.7831199999999999,0.755937211215794
11,0.6892,1.160284885787964,0.888,0.36205533576011656,0.7054,1.0059130771636964,0.8064,0.7135652763366699,0.6183,1.4332808956146241,0.9248,0.2528945011496544,0.8567,0.4776695450425148,0.762,0.9325617051124573,0.7536,0.8826164313316345,0.8709,0.4106312557220459,0.7875300000000001,0.7631472909021377
12,0.6826,1.19604592628479,0.9034,0.3138018098831177,0.7111,0.9874883399009705,0.8139,0.7130880046844482,0.6231,1.4721562267303467,0.9279,0.2454666958093643,0.8767,0.41450165979862214,0.7634,0.9445799285888672,0.757,0.8880314057350158,0.864,0.4357911958694458,0.7923099999999998,0.7610951193284989
13,0.6845,1.219548503112793,0.8966,0.3491342637777328,0.7095,1.0487835391044618,0.8163,0.7330539363861084,0.6338,1.4477369256973267,0.9291,0.2512572803854942,0.8761,0.4220747231960297,0.7646,0.959136898612976,0.7725,0.8471752637863159,0.8636,0.4539690726280212,0.7946599999999999,0.773187040668726
14,0.6823,1.286325175666809,0.8935,0.3706188084363937,0.7121,1.0667355453491212,0.8164,0.7673186674118042,0.6373,1.4710416902542114,0.9335,0.23829792006909847,0.8766,0.44406243871450424,0.769,0.9558049722671509,0.7701,0.8803386836051941,0.8715,0.4347363758563995,0.7962300000000001,0.7915280277630685
15,0.6858,1.2781054039001465,0.8994,0.3568013553380966,0.7157,1.0751098112106323,0.8175,0.7709413150787353,0.6278,1.549933857345581,0.9331,0.23992961896955967,0.8797,0.4266476832151413,0.7765,0.9229829574584961,0.7799,0.864101478099823,0.8732,0.4370473467826843,0.7988599999999999,0.7921600827398895
16,0.6949,1.2837550233840942,0.8996,0.3655756974697113,0.7183,1.1352567509651184,0.8176,0.8051143648147583,0.6238,1.5862361598968506,0.936,0.24004422063231468,0.8762,0.458701582467556,0.7755,1.0038731902122497,0.7884,0.8441030403137207,0.8771,0.4288986794233322,0.80074,0.8151558709579707
17,0.6931,1.3366689262390137,0.9097,0.33223140194416045,0.7167,1.18034349899292,0.8193,0.7954337779998779,0.6333,1.5401490383148193,0.9347,0.2447840555548668,0.8789,0.4503168897151947,0.7727,1.000868177986145,0.783,0.8827876882553101,0.8761,0.4524572459697723,0.80175,0.821604070097208
18,0.692,1.3437070331573486,0.9015,0.38510902013778686,0.7141,1.2385424755096435,0.8193,0.826878704547882,0.6343,1.646951738166809,0.937,0.24496362764537336,0.8798,0.463840030670166,0.7755,0.9790023650169373,0.7915,0.8480015971183776,0.8722,0.4714174394607544,0.8017200000000001,0.844841403143108
19,0.7011,1.3568397443771363,0.9025,0.3828505372285843,0.7172,1.2229862607955932,0.8159,0.8660390796661377,0.6279,1.668066246032715,0.9346,0.25113365225791934,0.888,0.4268083122730255,0.7763,1.017397803401947,0.7963,0.8456570436477661,0.8743,0.46911186373233793,0.8034100000000001,0.8506890543413164
20,0.704,1.3518829048156737,0.9066,0.3662791341543198,0.7178,1.271183027267456,0.8162,0.8668561012268067,0.627,1.7284726867675781,0.9364,0.25146642463207247,0.8828,0.4560467054605484,0.7761,1.0080900898933411,0.7946,0.873506048297882,0.868,0.5061366590023041,0.8029499999999998,0.8679919781517984
21,0.7004,1.4013811597824097,0.9128,0.3438636414527893,0.7196,1.3033266153335572,0.8198,0.86873331823349,0.624,1.7383526039123536,0.9384,0.24701305052638053,0.8881,0.4441076829910278,0.7707,1.0895307044029237,0.7947,0.9194413031578064,0.872,0.49348037509918213,0.8040499999999999,0.884923045489192
22,0.6863,1.5133434963226318,0.9092,0.36982493658065796,0.7206,1.3614580501556397,0.8211,0.8897680433273315,0.6257,1.753001823234558,0.9361,0.25624212444424627,0.8903,0.4360228038311005,0.7763,1.1015496688842774,0.7927,0.9439577476501465,0.871,0.5105155672550201,0.8029299999999999,0.9135684261685609
23,0.6911,1.5275407691955567,0.9134,0.35624091227054594,0.7224,1.3795669631958007,0.8182,0.9263930860519409,0.6297,1.7852129089355468,0.9329,0.268742731577158,0.8841,0.47600360937714575,0.7755,1.1053217476844788,0.7889,0.9803291831970214,0.8661,0.5243014830827712,0.80223,0.9329653394567968
24,0.6909,1.5353571491241456,0.9145,0.3516869873523712,0.7203,1.4105882810592651,0.8148,0.9470054500579834,0.629,1.8181979898452758,0.9384,0.2538397062987089,0.8851,0.48001412961483003,0.7732,1.1247480805397034,0.7861,1.0126399913787842,0.8686,0.5398968798160553,0.8020900000000001,0.9473974645087122
25,0.6904,1.5710055715560913,0.914,0.3611642641067505,0.7255,1.4238013469696045,0.81,1.002609686756134,0.6285,1.8405360315322876,0.9342,0.27401336071193216,0.8747,0.5381162271976471,0.77,1.1603857565879823,0.7857,1.0071619066238404,0.8651,0.5667616383552552,0.79981,0.9745555790397524
