epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
1,0.2103,2.2452162395477293,0.4923,1.737363126373291,0.23,2.150984635925293,0.3432,1.9567765468597411,0.2529,2.0971702211380006,0.3993,1.8567424800872803,0.3947,1.844880717086792,0.3605,1.9507111907958985,0.2299,2.172129857254028,0.3144,2.0322467233657835,0.32275,2.0044221738433836
2,0.3361,1.9974764400482177,0.6642,1.2121957458496093,0.3038,1.9280967058181762,0.4939,1.582122793006897,0.3515,1.8728265966415405,0.6296,1.325921968650818,0.5755,1.4255632139205932,0.5419,1.5051709093093872,0.2988,1.950217857170105,0.5313,1.5768802368164063,0.47266,1.6376472467231753
3,0.4512,1.6837375448226928,0.7621,0.8377632691383362,0.3764,1.7176019914627074,0.6056,1.2372657358169556,0.4223,1.6957668003082276,0.7816,0.8329999675750732,0.6884,1.0523745431900025,0.6087,1.2179807744979858,0.3923,1.7120696599960328,0.701,1.0709535767555236,0.5789599999999999,1.3058513863563537
4,0.514,1.439775537109375,0.8056,0.6411824371337891,0.4753,1.4968231966018677,0.6808,1.0072411352157593,0.4718,1.5834205577850342,0.8371,0.5647520892620087,0.7352,0.8538295919418335,0.6642,1.0430513565063477,0.4796,1.5159345401763915,0.7664,0.7780594449043274,0.6429999999999999,1.0924069886636736
5,0.5694,1.2765445417404175,0.8246,0.5490039761543274,0.5649,1.2799048391342163,0.7192,0.8877724615097046,0.5064,1.5051535970687866,0.8698,0.43014780695438387,0.7718,0.7186839071750641,0.7015,0.9590096508026124,0.5526,1.3345505130767823,0.7961,0.6336298333644867,0.68763,0.9574401126980782
6,0.6035,1.1961845054626465,0.8402,0.49386973996162414,0.6358,1.1102132667541504,0.7563,0.7917174028396606,0.5322,1.4671203777313233,0.8873,0.359042298913002,0.798,0.630788835811615,0.7173,0.9492730762481689,0.6171,1.180076480102539,0.8241,0.5373811450004577,0.72118,0.8715667128825189
7,0.6342,1.152626455307007,0.8481,0.4659848864078522,0.6734,1.016329866886139,0.7765,0.7434336149215698,0.5741,1.3796768377304076,0.9007,0.3172559454202652,0.8257,0.5409017590522767,0.7252,0.9619562879562378,0.6672,1.0716917418479919,0.8404,0.4866516544342041,0.74655,0.8136509049963951
8,0.6539,1.1429744171142577,0.8598,0.4394865008354187,0.6922,0.9806689405441285,0.7883,0.7298427968978882,0.5908,1.3754583225250243,0.9134,0.2826847274184227,0.8424,0.5055068228721619,0.7416,0.9411705995559693,0.7003,1.000485960483551,0.8507,0.45231598629951475,0.76334,0.7850595074546337
9,0.681,1.103297745704651,0.8644,0.42446477947235106,0.7004,0.9708272874832153,0.7962,0.716802161693573,0.6066,1.3740384981155396,0.9155,0.27329047758579256,0.8493,0.4791517919421196,0.7463,0.9206152804374694,0.7241,0.9392421805381775,0.8535,0.4501272875785828,0.77373,0.7651857490551471
10,0.6802,1.1446751676559448,0.8759,0.39126710872650144,0.7049,0.9779516355514526,0.802,0.7257230406761169,0.6221,1.3728182485580445,0.9178,0.26880978909134867,0.8587,0.4595555746436119,0.7565,0.8980398858070373,0.7489,0.8794998522758484,0.8648,0.4197204303741455,0.78318,0.7538060733360051
11,0.6896,1.1601030618667603,0.8799,0.387968922328949,0.7085,0.9927648337364197,0.8051,0.7290998195648193,0.6244,1.401868260383606,0.9254,0.25175916909575463,0.8621,0.4633399191737175,0.7547,0.936175675201416,0.7527,0.8890700892448425,0.8704,0.4045753342628479,0.78728,0.7616725084859133
12,0.6872,1.1946951183319092,0.8997,0.32525751333236697,0.7126,0.9896827410697937,0.8143,0.7168723638534545,0.6194,1.4550670291900634,0.9256,0.24731125925183295,0.8779,0.41482735533714293,0.7614,0.9420394680023193,0.7582,0.8781101115226746,0.869,0.4127283185005188,0.79253,0.7576591278392077
13,0.6865,1.2114337408065796,0.8933,0.3577432087421417,0.7087,1.0536514462471007,0.8156,0.725555143737793,0.6289,1.4525129180908203,0.9268,0.25308723753094675,0.8781,0.41197422560453417,0.763,0.951476844215393,0.772,0.848245675945282,0.8675,0.43199128086566924,0.79404,0.7697671721786261
14,0.6831,1.294053277015686,0.8944,0.3658030217885971,0.7132,1.0739447682380676,0.8159,0.7560594945907593,0.632,1.4773134035110473,0.934,0.23895247770547867,0.8795,0.42555596575737,0.767,0.9623523580551148,0.7733,0.8775113453865051,0.866,0.4506490393161774,0.79584,0.7922195151364804
