epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,avg_accuracy,avg_loss
60,0.8802,0.4069217648983002,0.8898,0.3875303341388702,0.8854,0.3940164763212204,0.8796,0.4099196200370789,0.88375,0.39959704884886743
61,0.8823,0.3988894850730896,0.8913,0.38092274298667905,0.8887,0.38528391599655154,0.8815,0.4011801768302917,0.88595,0.39156908022165293
62,0.892,0.3814046637773514,0.8935,0.37835905458927155,0.8892,0.3877972770214081,0.889,0.38951245775222776,0.890925,0.3842683632850647
63,0.8702,0.41105848398208616,0.8695,0.4156228664875031,0.8662,0.42291939854621885,0.8583,0.43895427927970887,0.86605,0.42213875707387927
64,0.8748,0.40120052394866945,0.87,0.42348589441776274,0.8471,0.4612102464199066,0.8623,0.43735678746700285,0.8635499999999999,0.4308133630633354
65,0.8873,0.3865927594661713,0.8883,0.386065073466301,0.8866,0.39442689027786254,0.8865,0.3912594621658325,0.8871749999999999,0.3895860463440418
66,0.8853,0.38117476325035093,0.8933,0.37505302019119263,0.885,0.3879912351608276,0.8842,0.39464499390125274,0.8869499999999999,0.38471600312590604
67,0.8714,0.41067318325042723,0.8733,0.4109797607421875,0.8724,0.42836835713386534,0.8613,0.44820995001792907,0.8695999999999999,0.4245578127861023
68,0.8734,0.4180996865749359,0.8708,0.42585604600906374,0.8547,0.4647988749027252,0.867,0.4389961007118225,0.866475,0.4369376770496368
69,0.8937,0.3692892714738846,0.8958,0.3675089563846588,0.8923,0.3722841493844986,0.89,0.3807956570625305,0.89295,0.37246950857639316
70,0.8826,0.39641980838775637,0.8858,0.38640653257369995,0.8804,0.39443047943115234,0.8689,0.42493044762611387,0.879425,0.40054681700468064
71,0.8985,0.3539562213897705,0.9003,0.3513253488063812,0.8961,0.3598066118478775,0.8962,0.36677051572799685,0.897775,0.3579646744430065
72,0.8846,0.39339792852401734,0.893,0.37522931487560274,0.8944,0.3738554342985153,0.8857,0.39733178255558016,0.889425,0.3849536150634289
73,0.8853,0.381775203371048,0.8817,0.40102028603553774,0.88,0.40784792416095733,0.8744,0.42111504540443423,0.88035,0.40293961474299433
74,0.8777,0.40572169551849363,0.8813,0.39408536891937257,0.872,0.42253781962394715,0.8719,0.4227514929771423,0.875725,0.41127409425973893
75,0.8919,0.36471897006034854,0.8912,0.365977551984787,0.8944,0.36388293566703794,0.8929,0.3687571810722351,0.8926000000000001,0.3658341596961021
76,0.8849,0.3777703464984894,0.8918,0.3630529546022415,0.8934,0.3605678223848343,0.8877,0.37627765607833863,0.88945,0.369417194890976
77,0.8926,0.36832409591674803,0.8891,0.3796729062318802,0.8838,0.38758970110416413,0.8826,0.393628058719635,0.887025,0.38230369049310686
78,0.8902,0.37413542881011963,0.8819,0.38997184081077574,0.8896,0.37288610892295837,0.8861,0.3882654938220978,0.8869499999999999,0.38131471809148787
79,0.889,0.36780781619548797,0.8922,0.36070738914012906,0.8932,0.35328077907562255,0.8914,0.36428194806575775,0.8914500000000001,0.3615194831192493
80,0.8996,0.3489317346572876,0.8973,0.3530572954416275,0.8979,0.3457862569570541,0.8954,0.36347294342517855,0.89755,0.352812057620287
81,0.8974,0.34827478892803193,0.8975,0.3513532374382019,0.8933,0.361094572019577,0.8991,0.35191160209178923,0.896825,0.3531585501194
82,0.8929,0.35874811635017395,0.8925,0.36740372233390806,0.8945,0.35895752770900724,0.8799,0.3992536737203598,0.88995,0.3710907600283623
83,0.8922,0.3553777181148529,0.8975,0.353573139333725,0.897,0.3471702720403671,0.8938,0.3598131936311722,0.8951250000000001,0.3539835807800293
84,0.9027,0.3389121250629425,0.9024,0.3410206022024155,0.9013,0.3436121638298035,0.9024,0.3501952209949493,0.9022,0.3434350280225277
85,0.8949,0.3495704471111298,0.8984,0.3525611183166504,0.8918,0.3585216592073441,0.8989,0.3512619440555573,0.8959999999999999,0.3529787921726704
86,0.8967,0.345401801943779,0.8972,0.34638475284576414,0.8924,0.3556313931941986,0.8953,0.3558751243829727,0.8954,0.35082326809167863
87,0.8984,0.3441567926168442,0.898,0.34917497947216036,0.8876,0.37011804332733156,0.8979,0.35743780779838563,0.895475,0.3552219058036804
88,0.8697,0.40834228372573855,0.879,0.3885998103618622,0.8881,0.3704780396938324,0.8796,0.389816018819809,0.8791,0.38930903815031054
89,0.8922,0.3544343103170395,0.8872,0.3844512366771698,0.8905,0.3679203085780144,0.8918,0.3671138415336609,0.8904249999999999,0.36847992427647114
90,0.9063,0.32083013598918914,0.9074,0.3261589793801308,0.8986,0.34336236975193024,0.9037,0.33503236472606657,0.9039999999999999,0.3313459624618292
91,0.9018,0.3350368704557419,0.9034,0.33759651205539704,0.9022,0.3336678943157196,0.8991,0.34938174827098845,0.9016250000000001,0.3389207562744617
92,0.8599,0.44610887613296507,0.8586,0.45287144956588743,0.8579,0.45536918458938597,0.8571,0.45830007133483885,0.858375,0.4531623954057693
93,0.8998,0.34547406990528107,0.8974,0.3450235796928406,0.8961,0.34891520972251894,0.8923,0.3618913300514221,0.8964000000000001,0.3503260473430157
94,0.8906,0.3577495062112808,0.8838,0.37579984979629516,0.8787,0.38229551658630373,0.891,0.3633998898267746,0.8860250000000001,0.36981119060516354
95,0.892,0.3626411281347275,0.8952,0.35591478757858275,0.8942,0.3565597655773163,0.8939,0.3605420211315155,0.893825,0.3589144256055355
96,0.8931,0.35001969501972197,0.9029,0.33179949576854706,0.9049,0.32626476757526396,0.9017,0.3402514907360077,0.90065,0.3370838622748852
97,0.9072,0.32706861248016356,0.9057,0.3222948944091797,0.9023,0.32713533010482787,0.9049,0.33003978793621064,0.905025,0.32663465623259547
98,0.9106,0.30995692291259763,0.9092,0.31531118953228,0.9053,0.3165431529760361,0.9114,0.31771844465732574,0.909125,0.31488242751955986
99,0.9036,0.33131847460269925,0.9022,0.33013804304599764,0.9017,0.33104154813289643,0.8966,0.3471903771400452,0.901025,0.3349221107304096
100,0.8944,0.3524072119951248,0.8945,0.35928052291870116,0.8917,0.3584439878463745,0.8867,0.37816579139232637,0.8918250000000001,0.36207437853813174
